,date,text,sentiment
Bank of Canada Publishes 2013 Schedule for Policy Interest Rate Announcements and Monetary Policy Report Releases,2012-08-03,bank canada today published schedule key policy interest rate announcements quarterly monetary policy report mpr releases re-confirmed scheduled announcement dates remainder year scheduled announcement dates september december re-confirmed remaining rate announcements continue made 09:00 et october monetary policy report published 10:30 et wednesday october starting january bank canada begin publishing quarterly monetary policy report concurrently january april july october rate announcements st,-0.05331824
Bank of Canada Unveils New $20 Note Design,2012-05-02,minister finance jim flaherty governor mark carney today unveiled new secure polymer bank note bank canada head office wellington street ottawa raise public awareness new note building north-east corner features seven-storey high images sides polymer previously issued polymer bank notes main reason issuing new stay ahead counterfeiting threats new polymer notes also economical smaller environmental footprint bank goal maintain canadians confidence money secure means payment said governor carney ,0.1588225
Bank of Canada designates Canadian Derivatives Clearing Service under the Payment Clearing and Settlement Act,2012-04-27,governor bank canada today designated canadian derivatives clearing service cdcs subject ongoing regulatory oversight bank payment clearing settlement act pcsa effective april cdcs operated canadian derivatives clearing corporation cdcc provides central counterparty services derivative contracts traded montréal exchange derivative contracts traded over-the-counter via cdcc converge® platform certain fixed income securities issued guaranteed government canada fixed income central counterparty ser,0.026985593
Bank of Canada Announces Recipients of  2012 Fellowship and Governor’s Awards,2012-04-13,bank canada today announced professor jean-marie dufour mcgill university recipient bank fellowship award professor dufour one canada leading econometricians internationally recognized work wide range topics associated analysis macroeconomic financial data first awarded bank canada research fellowship bank delighted recognize professor dufour exceptional contributions econometric methodology applications macroeconomics finance economic growth development said mark carney governor bank canada ban,0.35954458
The Bank of Canada Releases Its Annual Report for 2011,2012-04-05,bank canada annual report tabled house commons today report available 12:00 et bank 's website ,-0.022289474
Bank of Canada Issues $50 Polymer Bank Note,2012-03-26,bank canada governor mark carney today officially announced new polymer bank note entry circulation event canadian coast guard québec port facility new notes available financial institutions coast coast coast starting today governor carney joined event shelly glover parliamentary secretary minister finance marc grégoire commissioner canadian coast guard louis fortier scientific director arcticnet front new note features portrait sir william lyon mackenzie king back depicts arctic research icebre,0.09550567
Bank of Canada Issues $100 Bill – First Canadian Polymer Bank Note,2011-11-14,bank canada today began circulating new bill canada first polymer bank note new note available financial institutions coast coast coast next weeks note features portrait sir robert borden prime minister canada front celebrates canada contributions innovation field medicine back officially released circulation governor mark carney event toronto ontario mars centre hub public-private sector innovation collaboration business scientific communities governor carney joined event dr. ilse treurnicht ch,0.054715227
Bank of Canada Releases Background Information on Renewal of the Inflation-Control Target,2006-11-27,bank canada today released document renewal inflation-control target background information describes canada 's experience inflation targeting reports key issues bearing framework conducting monetary policy identifies issues warranting research release follows november announcement government canada bank canada inflation-control target renewed period five years end agreement bank continue conduct monetary policy aimed keeping inflation measured consumer price index cpi per cent control range per,0.017373908
Bank of Canada Governor Mark Carney Appointed Chairman of Financial Stability Board,2011-11-04,bank canada governor mark carney named chairman financial stability board fsb fsb international agency dedicated building resilient efficient global financial system coordinates work national financial authorities international standard-setting bodies develops promotes implementation effective regulatory supervisory financial sector policies appointment term three years confirmed g-20 leaders summit cannes france honoured assume new role said governor carney appointment reflects strong reputatio,0.10551186
Bank of Canada Calls for Nominations for the 2012 Fellowship and Governor’s Awards,2011-09-13,bank canada calling nominations fellowship governor awards canadian universities invited nominate exceptional academics prestigious awards bank canada promotes economic financial welfare canada activities four main areas monetary policy currency financial system stability funds management bank fellowship program promotes excellence research analysis develops partnerships experts outside bank areas important bank mandate i.e macroeconomics monetary economics international finance financial market,0.08479386
Bank of Canada Announces the Recipient of Its 2011 Law Enforcement Award of Excellence for Counterfeit Deterrence,2011-08-23,bank canada pleased announce recipient law enforcement award excellence counterfeit deterrence rcmp integrated counterfeit enforcement team surrey british columbia honoured today annual conference canadian association chiefs police windsor ontario accepting award unit behalf superintendent lesley bain officer charge division british columbia commercial crime section sergeant rick koop investigator team fourteen members integrated counterfeit enforcement team honoured outstanding efforts two majo,0.22347449
Bank of Canada Releases 2012 Schedule for Policy Interest Rate Announcements and Monetary Policy Report Releases,2011-07-26,bank canada today released schedule eight dates announcing decisions key policy interest rate confirmed announcement dates remainder year announcement dates september december wednesday september tuesday october tuesday december tuesday january thursday march tuesday april tuesday june tuesday july wednesday september tuesday october tuesday december announcements continue made 09:00 et accordingly monetary policy report published 10:30 et following dates wednesday january wednesday april wednes,-0.065874904
Bank of Canada Unveils Polymer Bank Note Series: Celebrating Canada’s Achievements at the Frontiers of Innovation,2011-06-20,bank canada unveiled new polymer bank note series today head office ottawa information polymer material advanced new security features released along images designs soon-to-be-issued bank notes themes remaining notes series minister finance jim flaherty rcmp commissioner william j. s. elliott joined bank canada governor mark carney unveiling ceremony minister flaherty spoke importance cash means payment daily lives canadians adding important canadians see story reflected designs bank notes evoke,0.082811184
The Bank of Canada Releases Its Annual Report for 2010,2011-06-09,bank canada annual report tabled house commons today report available 12:00 et bank 's website ,-0.022289474
"Canada Is Adjusting to Global Economic Transformation, Says Bank of Canada Governor Mark Carney",2011-05-16,canada economy remains relatively well positioned buffeted significant transformation global economy driven combination secular trends cyclical forces bank canada governor mark carney said time great opportunity canada navigating cross-currents global economy require boldness skill governor said speech today canadian club ottawa robust growth emerging market economies result combination spectacular secular trends powerful cyclical forces governor said trends include urbanization emerging asia ac,0.24342442
Bank of Canada Announces Recipients of 2011 Fellowship and Governor’s Awards,2011-03-30,bank canada today announced professors randall k. morck university alberta gregor w. smith queen university recipients bank fellowship award bank canada pleased present professor morck professor smith year fellowship awards said mark carney governor bank canada professor morck published widely areas corporate finance financial system efficiency political economy business history highly renowned expert corporate governance current research focuses behaviour financial institutions associated linka,0.03473643
Bank of Canada Announces Further Details on New Series of Polymer Bank Notes,2011-03-10,bank canada today announced begin circulating new polymer bank note november polymer note follow march bank also provided technical background information new bank notes details security features themes designs denominations unveiled spring remaining denominations note followed notes unveiled issued end introduction polymer bank note series bank 's main focus continues security `` canada 's new bank notes innovative security features easy verify `` said mark carney governor bank canada `` leadin,0.15803741
Bank of Canada Announces Closure of Optical Security Material Division and Sale of Related Assets,2010-12-08,bank canada announced today closing optical security material osm division selling related assets bank 's osm division manufactures optical security material used production bank notes security documents following strategic review bank decided sell osm assets initiated competitive tender process fortress optical features ltd. subsidiary canadian-based fortress paper ltd. successful bidder yesterday signed purchase agreement acquisition osm assets transaction expected conclude january bank retain,0.51646954
Bank of Canada Announces the Recipients of Its 2010 Law Enforcement Award of Excellence for Counterfeit Deterrence,2010-08-24,bank canada pleased announce recipients law enforcement award excellence counterfeit deterrence award established recognize work canadian law-enforcement personnel deterring preventing counterfeiting canada 's bank notes year bank presenting two awards one recognizing outstanding enforcement efforts recognizing exceptional contribution area crime prevention rcmp sergeant susan maclean corporal tim laurence representing members integrated counterfeit enforcement team greater toronto honoured role,0.6342387
Bank of Canada Releases 2011 Schedule of Dates for Its Policy Interest Rate Announcements,2010-07-29,bank canada today released schedule eight dates announcing decisions key policy interest rate confirmed announcement dates remainder year announcement dates september december wednesday september tuesday october tuesday december tuesday january tuesday march tuesday april tuesday may tuesday july wednesday september tuesday october tuesday december announcements continue made 09:00 et ,-0.061264195
Bank of Canada increases overnight rate target to 1/2 per cent and re-establishes normal functioning of the overnight market,2010-06-01,bank canada today announced raising target overnight rate one-quarter one percentage point 1/2 per cent bank rate correspondingly raised 3/4 per cent deposit rate kept 1/4 per cent thus re-establishing normal operating band basis points overnight rate global economic recovery proceeding increasingly uneven across countries strong momentum emerging market economies consolidation recovery united states japan industrialized economies possibility renewed weakness europe required rebalancing global g,0.64198416
Re-Establishment of the Standard Operating Framework for the Implementation of Monetary Policy,2010-06-01,part bank canada 's interest rate decision june bank re-establish standard operating framework implementation monetary policy key features framework target overnight rate operating band settlement-balance management effective immediately target overnight rate midpoint operating band width operating band revert basis points bank conduct special purchase resale agreement spra sale repurchase agreement sra operations necessary reinforce target overnight rate see terms conditions targeted level sett,0.025669545
17th Annual Meetings of Gouverneurs des banques centrales des pays francophones,2010-05-14,part events related 75th anniversary bank canada hosted 17th annual meetings gouverneurs des banques centrales des pays francophones montréal may addition hosting g-7 g-20 meetings year forum central bankers another example spirit co-operation collaboration canada brings international community initiative organized banque de france meetings gouverneurs des banques centrales des pays francophones held annually one member countries l'organisation internationale de la francophonie group composed ce,0.025919843
The New Bank of Canada Commodity Price Index (BCPI),2010-05-07,bank canada today announced introduction new bank canada commodity price index bcpi order produce accurate representative flexible index methodology used construct index changed instead using fixed-weight price index weights updated infrequently new bcpi uses chain fisher price index weights updated annual basis new fisher bcpi includes broader set commodities updated using recent commodity production data please note new fisher bcpi replaces previous fixed-weight series weighted index u.s.-doll,0.015680607
Bank of Canada maintains overnight rate target at 1/4 per cent; removes conditional commitment,2010-04-20,bank canada today announced maintaining target overnight rate 1/4 per cent bank rate unchanged 1/2 per cent deposit rate 1/4 per cent global economic growth somewhat stronger projected momentum emerging-market economies increasing noticeably exceptional stimulus monetary fiscal policies continues provide important support many countries recovery major advanced economies still expected relatively subdued reflecting ongoing balance sheet adjustments gradual withdrawal fiscal stimulus commencing la,0.81111574
The Bank of Canada Releases Its Annual Report for 2009,2010-03-31,bank canada 's annual report tabled house commons today copies report available 12:00 et ,-0.030672766
"Two Imperatives to Secure Strong, Sustainable, and Balanced Economic Growth, Governor Mark Carney Says",2010-03-24,"canada country immense strengths considerable resilience economy underperforming relative potential bank canada governor mark carney said today speech ottawa economics association `` productive could potential growth slowing moreover occurring nature global economy previously thrived threat `` governor carney noted cost decline potential growth could amount cumulative loss income almost 30,000 per canadian next decade governor spelled two imperatives–one domestic international–to secure strong s",-0.049752682
Bank of Canada Announces Recipients of 2010 Fellowship and Governor's Awards,2010-03-15,bank canada today announced professor paul beaudry university british columbia recipient bank 's research fellowship also recipient bank 's research fellowship award professor beaudry published widely areas macroeconomics labour economics monetary policy technical change growth current research focuses income distribution business cycle fluctuations well job creation debt-fueled expansion financial crisis `` bank canada delighted present professor beaudry fellowship award second time work partic,0.052668303
Bank of Canada: 75 Years Today,2010-03-11,bank canada today celebrating 75th anniversary opening doors business mark occasion governor mark carney met economics students across canada `` bank learning organization immense responsibilities `` governor carney told students `` work grounded academia honed analysis disciplined unrelenting focus mandate `` response bank recent economic crisis rose highest standard set history governor carney said event co-hosted carleton university university ottawa `` guided well-researched policy-based fra,0.45670733
Bank of Canada announces retirement of Deputy Governor Pierre Duguay,2010-03-10,bank canada today announced pierre duguay deputy governor retire bank july mr. duguay joined bank economic analyst research department career bank occupied key roles including chief department monetary financial analysis chief research department adviser governor appointed deputy governor january governor carney praised mr. duguay 's longstanding contribution bank particularly areas monetary policy economic theory modelling currency financial stability `` pierre 's precision extensive experience,0.2676174
Bank of Canada to Issue New Bank Notes,2010-03-04,announced today 's federal budget bank canada begin issue new series bank notes printed polymer material new notes incorporate innovative security features significantly increase protection counterfeiting polymer material last longer cotton paper currently use resulting lower overall production costs reduced environmental impact ,0.77034897
Bank of Canada maintains overnight rate target at 1/4 per cent and reiterates conditional commitment to hold current policy rate until the end of the second quarter of 2010,2009-06-04,bank canada today announced maintaining target overnight rate 1/4 per cent bank rate unchanged 1/2 per cent deposit rate 1/4 per cent information received since bank 's april monetary policy report mpr broadly consistent bank 's medium-term outlook output inflation canada economy undergoing major restructuring number sectors already significant output gap continue widen third quarter putting downward pressure inflation bank continues expect global canadian recoveries muted usual recent weeks fin,-0.8636782
Bank of Canada announces appointment of Tiff Macklem as Senior Deputy Governor,2010-02-26,board directors bank canada today announced tiff macklem appointed senior deputy governor term seven years beginning july selection made independent members bank 's board approved federal cabinet mr. macklem long association bank canada currently associate deputy minister federal department finance canada 's g7 deputy capacity helped develop measures mitigate impact global financial crisis closely involved developing global response crisis g7 g20 financial stability board governor mark carney wa,0.08503173
Bank of Canada welcomes initiative to improve infrastructure for Canadian-dollar core funding markets,2009-12-15,bank canada welcomes today 's announcement investment industry association canada iiac completed selection process preferred vendor central counterparty services canadian repo markets policies initiatives help keep core markets functioning continuously including times stress promote overall safety soundness financial system improving infrastructure supports markets important part keeping markets open `` today 's announcement represents critical first step `` said governor mark carney `` developi,0.7565003
Deputy Governor David Longworth to Retire from the Bank of Canada,2009-11-12,bank canada announced today deputy governor david longworth retire march mr. longworth joined bank appointed deputy governor particular responsibility financial system financial markets career worked economics departments bank involved developing canada 's inflation targeting framework governor mark carney warmly thanked mr. longworth dedication achievements bank earliest years research department valued judgment expertise brought governing council `` particularly past two years david longworth ,0.07319729
Senior Deputy Governor Paul Jenkins will leave the Bank at the end of his term in April 2010,2009-10-29,senior deputy governor paul jenkins announced seek renewal term office leave bank canada seven-year term expires april mr. jenkins appointed role april serving deputy governor years began career bank research department mr. jenkins informed board directors governor viewed end term opportunity undertake new challenges governor carney saluted outstanding contributions mr. jenkins made work bank `` paul jenkins devoted career development conduct canadian monetary policy canada 's economic policy-ma,0.10896154
Bank of Canada Announces the Recipient of its 2009 Law Enforcement Award of Excellence for Counterfeit Deterrence,2009-08-11,bank canada pleased announce recipient law enforcement award excellence counterfeit deterrence rcmp 's national anti-counterfeiting bureau nacb staff honoured today annual conference canadian association chiefs police charlottetown prince edward island accepting award behalf nacb rcmp assistant commissioner peter henschel director general forensic science identification services shawki elias nacb program manager nacb specialized law enforcement service selected critical behind-the-scenes role pr,0.22326022
Bank of Canada releases 2010 schedule of dates for its policy interest rate announcements,2009-07-31,bank canada today released schedule eight dates announcing decisions key policy interest rate confirmed announcement dates remainder year announcement dates september december thursday september tuesday october tuesday december tuesday january tuesday march tuesday april tuesday june tuesday july wednesday september tuesday october tuesday december announcements continue made 09:00 et ,-0.05956941
Bank of Canada releases Monetary Policy Report,2003-04-23,since october monetary policy report core total cpi inflation well per cent inflation target environment inflation expectations edged view domestic inflation situation underlying momentum domestic demand bank raised target overnight rate last two policy announcement dates basis points bringing 3.25 per cent economic financial geopolitical uncertainty figured prominently global economic picture past six months geopolitical financial uncertainty lifted recently bank expects continue recede however,-0.1412206
"Bank of Canada lowers overnight rate target by 1/4 percentage point to 1/4 per cent and, conditional on the inflation outlook, commits to hold current policy rate until the end of the second quarter of 2010",2009-04-21,bank canada today announced lowering target overnight rate one-quarter percentage point 1/4 per cent bank judges effective lower bound rate bank rate correspondingly lowered 1/2 per cent deposit rate rate paid deposits held financial institutions bank canada left unchanged 1/4 per cent provides floor overnight rate details bank 's operating framework effective lower bound found environment continued high uncertainty global recession intensified become synchronous since bank 's january monetary p,-0.8169065
Bank of Canada Appoints Two Advisers,2009-04-09,bank canada today announced appointments david wolf permanent position adviser jean boivin rotating role special adviser term 2009-2010 david wolf head canadian economics chief strategist banc america securities–merrill lynch toronto join bank adviser june draw experience deep knowledge global canadian economies well financial markets focus issues related monetary policy contribute bank 's research program joining merrill lynch canada economist strategist canadian investment dealer previously he,0.052572176
The Bank of Canada Releases Its Annual Report for 2008,2009-04-03,bank canada 's annual report tabled house commons today copies report available 12:00 et ,-0.030672766
Bank of Canada Announces Recipients of 2009 Fellowship and Governor's Awards,2009-03-18,bank canada today announced professor david andolfatto simon fraser university recipient bank 's research fellowship professor andolfatto known work business cycle theory labour market policy theory money banking current research focuses bank sector stability policies designed avert major financial crises `` professor andolfatto 's outstanding work contributes excellence monetary policy research country `` said mark carney governor bank canada `` bank delighted recognize valuable contributor fie,0.7698485
Bank of Canada lowers overnight rate target by 1/2 percentage point to 1/2 per cent,2009-03-03,bank canada today announced lowering target overnight rate one-half percentage point 1/2 per cent operating band overnight rate correspondingly lowered bank rate 3/4 per cent outlook global economy continued deteriorate since bank 's january monetary policy report update weaker-than-expected activity major economies nature u.s. recession weak auto housing sectors particularly challenging canada stabilization global financial system remains precondition global canadian economic recoveries timely ,-0.9413883
Bank of Canada announces Deputy Governor appointment,2004-12-17,board directors bank canada today announced appointment tiff macklem deputy governor bank member bank 's governing council effective december mr. macklem 's appointment fills vacancy created departure mark carney mr. macklem first joined bank economist subsequently appointed increasingly senior positions including assistant chief research department research adviser chief research department appointed adviser governor august born montréal quebec mr. macklem earned bachelor 's degree economics qu,0.017653435
Bank of Canada releases Monetary Policy Report Update,2003-07-17,bank canada today released update april monetary policy report update reviews economic financial trends context canada 's inflation-control strategy july update highlights number unanticipated developments changed outlook economic activity inflation canada inflation inflation expectations eased near-term domestic activity weakened severe acute respiratory syndrome sars isolated case bovine spongiform encephalopathy bse weaker-than-expected foreign demand canadian products well substantial rise v,-0.8365978
Bank of Canada lowers overnight rate target by 1/2 percentage point to 1 per cent,2009-01-20,bank canada today announced lowering target overnight rate one-half percentage point per cent operating band overnight rate correspondingly lowered bank rate 1/4 per cent outlook global economy deteriorated since bank 's december interest rate announcement intensifying financial crisis spilling real economic activity heightened uncertainty undermining business household confidence worldwide eroding domestic demand major advanced economies including canada 's recession emerging-market economies i,-0.9471376
Bank of Canada lowers overnight rate target by 3/4 percentage point to 1 1/2 per cent,2008-12-09,bank canada today announced lowering target overnight rate three-quarters percentage point 1/2 per cent operating band overnight rate correspondingly lowered bank rate 3/4 per cent outlook world economy deteriorated significantly global recession broader deeper previously anticipated global financial markets remain severely strained measures taken major governments beginning encourage credit flows although take time conditions financial markets normalize addition series recently announced moneta,-0.5653186
Deputy Governor to leave Bank of Canada,2008-11-24,bank canada announced today deputy governor sheryl kennedy decided leave bank pursue interests step position effective december governor bank canada mark carney expressed appreciation ms. kennedy 's dedication leadership many contributions bank 14-year career deputy governor `` sheryl 's numerous contributions bank canada range responsibilities member executive management committee work member governing council carrying bank 's monetary policy financial stability mandates also served canada dist,0.061017223
Bank of Canada announces senior appointments in new internal structure,2008-11-03,order hone focus safe sound financial system reinforce research streamline management processes bank canada realigned responsibilities made series senior appointments lead work monetary policy financial stability management government canada 's funds canadian bank notes new structure creates integrated lines business around four functions build synergies needed tackle complex policy issues inherent bank 's mandate contribute rising living standards low stable predictable inflation sound financia,0.31890082
Bank of Canada lowers overnight rate target by 1/4 percentage point to 2 1/4 per cent,2008-10-21,bank canada today announced lowering target overnight rate one-quarter percentage point 1/4 per cent operating band overnight rate correspondingly lowered bank rate 1/2 per cent three major interrelated developments profound impact canadian economy first intensification global financial crisis led severe strains financial markets associated need global banking sector continue reduce leverage restrain growth time second global economy appears heading mild recession led u.s. economy already recess,-0.94207203
Counterfeit $100 bills circulating in the Greater Montréal Area,2008-09-15,bank canada royal canadian mounted police sûreté du québec service de police de la ville de montréal warning public counterfeit notes latest bank note series series features metallic stripe circulating greater montréal area `` cash handlers public easily detect bogus bills verifying security features found bank notes `` said gerry gaetz chief banking operations bank canada `` recent increase counterfeit bills serves reminder stay vigilant `` prevention detection essential fight counterfeiting po,0.18999729
Bank of Canada issues statement on recent market developments,2008-09-15,bank canada closely monitoring global market developments bank welcomes initiatives federal reserve system provide support u.s. financial markets bank provide liquidity required support stability canadian financial system functioning financial markets ,0.10654828
Bank of Canada keeps overnight rate target at 3 per cent,2008-06-10,bank canada today announced maintaining target overnight rate per cent operating band overnight rate unchanged bank rate remains 1/4 per cent since april monetary policy report mpr economic developments broadly line expectations however balance risks bank 's april projection inflation canada shifted slightly upside although composition u.s. growth favourable demand canadian goods services overall global growth stronger commodity prices sharply higher expected time many downside risks inflation i,-0.20829886
Bank of Canada Announces the Recipients of its 2008 Law Enforcement Award of Excellence for Counterfeit Deterrence,2008-08-26,bank canada pleased announce recipients law enforcement award excellence counterfeit deterrence corporal tim laurence corporal susan maclean now-retired staff sergeant ken macdonald integrated counterfeit enforcement team rcmp toronto west honoured today annual conference canadian association chiefs police montréal quebec recipients award excellence selected persistence commitment investigation code-named project ophir resulted shutting largest counterfeiting operation canadian history investiga,0.0816177
Bank of Canada releases 2009 schedule of dates for its policy interest rate announcements,2008-07-31,bank canada today released schedule eight dates announcing decisions key policy interest rate confirmed announcement dates remainder year announcement dates september december wednesday september tuesday october tuesday december tuesday january tuesday march tuesday april thursday june tuesday july thursday september tuesday october tuesday december announcements continue made a.m. et ,-0.1045962
Bank of Canada announces the appointment of Mark E. Caplan as Senior Representative and Director of its Toronto Office (Financial Markets),2008-07-29,bank canada pleased announce appointment mark e. caplan senior representative director toronto office financial markets effective september mr. caplan replace ross mackinnon retiring mr. caplan contribute bank 's objectives conducting monetary policy achieve low stable predictable inflation promoting well-functioning financial markets responsible building bank 's strong relationship toronto financial community also contribute bank 's analysis evolution financial markets institutions products reg,0.07963996
Bank of Canada Appoints Special Advisers,2008-07-10,bank canada today announced appointment angelo melino professor department economics university toronto frank milne bmo professor economics finance department economics queen 's university special advisers year 2008-09 terms professor melino 's professor milne 's appointments overlap position special adviser created bring additional perspectives monetary policy discussions also gives university private sector professionals economics finance first-hand knowledge bank canada professor melino condu,0.015428398
Bank of Canada Hosts CEMLA Meetings,2008-05-09,centre latin american monetary studies centro de estudios monetarios latinoamericanos cemla concluded governors meetings today hosted bank canada cemla event consisted three gatherings meeting central bank governors american continent meeting central bank governors latin america spain meeting cemla board governors assembly delegates countries attended event took place 7-9 may bank canada headquarters ottawa delegates discussed topics related current economic financial market conditions reform in,-0.0007622652
Counterfeit $100 notes discovered: Bank of Canada and the Toronto Police Service remind the public and retailers to be vigilant,2008-04-28,bank canada toronto police service reminding public retailers pay close attention bank notes receive number counterfeit notes passed mainly greater toronto area last weeks `` incident reminds us must always remain vigilant counterfeiting `` said gerry gaetz chief banking operations bank canada `` counterfeiting rates canada declined per cent since peak counterfeiters look opportunities pass notes tell people n't checking `` counterfeits easily detected compared note know genuine always advising ,-0.30203712
Bank of Canada lowers overnight rate target by 1/2 percentage point to 3 per cent,2008-04-22,bank canada today announced lowering target overnight rate one-half percentage point per cent operating band overnight rate correspondingly lowered bank rate 1/4 per cent growth global economy weakened reflecting effects sharp slowdown u.s. economy ongoing dislocations global financial markets growth canadian economy also moderated buoyant growth domestic demand supported high employment levels improved terms trade substantially offset fall net exports total core cpi inflation running 1.5 per ce,-0.874396
Bank of Canada Announces Recipients of Fellowship Award for 2008,2008-03-18,bank canada today announced professor michael devereux university british columbia professor shouyong shi university toronto recipients bank 's research fellowship professors devereux shi also received award first year program professor devereux one foremost experts area open-economy modelling known work international economics current research focuses two areas exchange rates pricing global financial integration professor shi internationally renowned economist expertise macroeconomics monetary ,0.068434134
Bank of Canada Announces First Recipient of Governor's Award,2008-03-18,bank canada today announced professor henry siu university british columbia first recipient governor 's award professor siu assistant professor economics department university british columbia known work field macroeconomics current research focuses two areas analysis business cycles conduct monetary policy fiscal policy face economic shocks `` bank canada pleased recognize professor siu first recipient governor 's award `` said mark carney governor bank canada `` early stage career already demo,0.05684431
The Bank of Canada Releases Its Annual Report for 2007,2008-03-14,bank canada 's annual report tabled house commons today copies report available 12:00 et ,-0.030672766
Bank of Canada lowers overnight rate target by 1/2 percentage point to 3 1/2 per cent,2008-03-04,bank canada today announced lowering target overnight rate one-half one percentage point 1/2 per cent operating band overnight rate correspondingly lowered bank rate 3/4 per cent information received since january monetary policy report update mpru indicates economic growth canada four quarters broadly line expectations domestic demand remained buoyant rising commodity prices high employment continued support income growth canada 's net exports weakened fourth quarter reflecting slowing u.s. eco,-0.9041969
Bank of Canada lowers overnight rate target by 1/4 percentage point to 4 per cent,2008-01-22,bank canada today announced lowering target overnight rate one-quarter one percentage point per cent operating band overnight rate correspondingly lowered bank rate 1/4 per cent second half canadian economy grew broadly line bank 's expectations october monetary policy report mpr despite slowing growth fourth quarter canadian economy continues operate production capacity core total cpi inflation lower projected mpr largely reflecting price-level adjustment related increased competitive pressures,0.15814519
Nominations Invited for the Bank of Canada's Law Enforcement Award of Excellence for Counterfeit Deterrence,2004-12-01,effective today bank canada inviting nominations second annual law enforcement award excellence counterfeit deterrence award presented one police officers employees volunteers canadian law enforcement agency demonstrated outstanding commitment initiative fight bank note counterfeiting prevention counterfeiting nominations may submitted serving member canadian law enforcement agency bank canada collaboration canadian association chiefs police cacp established award excellence march recognize effo,0.6252896
Bank of Canada lowers overnight rate target by 1/4 percentage point to 4 1/4 per cent,2007-12-04,bank canada today announced lowering target overnight rate one-quarter one percentage point 1/4 per cent operating band overnight rate correspondingly lowered bank rate 1/2 per cent since october monetary policy report mpr number economic financial developments bearing prospects output inflation canada consistent outlook mpr global economic expansion remained robust commodity prices continued strong canadian economy growing broadly line bank 's expectations reflecting large part underlying stren,0.531192
Bank of Canada keeps target for the overnight rate at 4 1/2 per cent,2007-09-05,bank canada today announced maintaining target overnight rate 1/2 per cent operating band overnight rate unchanged bank rate remains 3/4 per cent near-term prospects economic growth outside north america appear slightly stronger anticipated july monetary policy report update mpru near-term economic prospects united states weaker expected seems likely adjustment u.s. residential housing sector pronounced protracted exacerbated recent developments financial markets balance implies weaker demand ca,-0.9440236
Deputy Governor Tiff Macklem appointed Associate Deputy Minister of Finance,2007-10-11,prime minister announced today tiff macklem deputy governor bank canada appointed associate deputy minister finance effective november mr. macklem also serve canada 's finance deputy g-7 g-20 financial stability forum mr. macklem replace mark carney roles mr. carney recently appointed next governor bank canada effective february joining bank canada adviser governor effective november bank canada governor david dodge expressed appreciation mr. macklem 's contribution bank 's domestic internationa,0.71742105
Mark Carney Appointed Governor of the Bank of Canada,2007-10-04,directors bank canada appointed section bank canada act today announced appointed mark carney governor bank canada seven-year term effective february mr. carney succeed david dodge announced earlier year retire bank end term january `` mark carney brings new role outstanding breadth experience expertise `` said jean-guy desjardins chair special committee board directors `` directors believe mr. carney superbly equipped lead bank confident take challenges governor 's role promoting economic finan,0.7557394
Survey of Foreign Exchange and Derivatives Market Activity in Canada During April 2007,2007-09-25,document published .pdf format ,-0.004112482
New initiative to involve Canadian high school students in the fight against bank note counterfeiting crimes,2007-09-10,bank canada durham district school board royal canadian mounted police ontario provincial police sûreté du québec joining forces promote new counterfeit detection module free ready-to-teach kit available high schools across country common goal raise awareness among canadian high school students detrimental impact bank note counterfeiting involve fight harmful criminal activity initiative well received canadian education community `` durham district school board pleased partner bank canada levels,0.19467665
The Bank of Canada is committed to providing liquidity; restores standard terms for SPRA,2007-09-06,bank canada committed providing liquidity support efficient functioning canada 's financial markets money markets continue experience difficulties significant progress functioning overnight market since august overnight rate bank canada 's target rate special purchase resale agreements spras required background effective september bank canada restore standard terms spra accepting government canada securities bank canada continues closely monitor financial market developments need provision liqui,0.14752142
Bank of Canada Announces the Recipients of its 2007 Law Enforcement Award of Excellence for Counterfeit Deterrence,2007-08-23,bank canada pleased announce recipients law enforcement award excellence counterfeit deterrence acting detective brian wintermute detective tom warfield constables steve poplawski scott besco david bauer peel regional police service ontario honoured yesterday annual conference canadian association chiefs police calgary alberta recipients award excellence selected relentless efforts innovative investigative techniques major investigation dubbed project money tireless work officers led shutdown si,0.1173181
Bank of Canada sees joint commitment by major Bank CEOs on bank-sponsored asset-backed commercial paper (ABCP) as positive step,2007-08-21,bank canada continues monitor functioning canada 's financial markets make liquidity available required commitment canada 's major bank ceo 's work together support performance liquidity market bank-sponsored asset-backed commercial paper abcp positive step help re-establish well functioning money markets canada commitment underpinned strength financial positions confidence underlying assets ongoing commitment provide liquidity bank-sponsored abcp maturity ,0.77885723
Bank of Canada welcomes initiatives to support the functioning of financial markets in Canada,2007-08-16,bank canada welcomes initiatives announced today support asset-backed commercial paper market canada agreement announced morning major investors liquidity providers pursue orderly restructuring canadian market structured finance asset-backed commercial paper third party abcp provides opportunity parties work many complex issues related market asset-backed commercial paper commitment institutions take actions support orderly resolution helpful bank also welcomes confirmation canada 's major chart,0.79247075
Bank of Canada Temporarily Expands List of Collateral Eligible for SPRA Transactions,2007-08-15,part continuing provision liquidity support efficient functioning financial markets bank canada announced today temporarily expanding list collateral eligible use market participants special purchase resale agreements spras addition accepting government canada securities collateral spras bank also accept securities already eligible collateral bank 's standing liquidity facility slf provided participants large value transfer system expanded collateral list effective notice collateral used spra tr,0.06797003
