,date,text
Bank of Canada Calls for Nominations for the 2013 Fellowship and Governor’s Awards,2012-10-04,"The Bank of Canada is calling for nominations for its Fellowship and Governor’s awards for 2013. Canadian universities are invited to nominate exceptional academics for these prestigious awards.
The Bank of Canada promotes the economic and financial welfare of Canada through its activities in four main areas: monetary policy, currency, financial system stability and funds management. The Bank’s Fellowship Program fosters excellence in research and analysis and develops partnerships with experts outside the Bank.
Recent experience has emphasized that the issues relevant to central banking require deep knowledge of macroeconomics and finance, as well as expertise that goes beyond traditional central banking fields. The Bank encourages applications from candidates with expertise across a broad range of fields because of the diversity of research areas that support its responsibilities.
Through this program, two research awards are available for academics who currently work at a Canadian university: the Fellowship Award and the Governor’s Award.
The Fellowship Award provides financial support for a five-year term to academics who are recognized for their expertise and excellence in areas important to the Bank’s mandate and whose leading-edge research contributes to the development of knowledge and research capabilities in those areas.
The Governor’s Award provides funding for a two-year term to exceptional assistant and associate professors who have demonstrated the potential to make exemplary research contributions in their fields.
Nominations for these awards must be submitted by 15 November 2012. For more information on the Fellowship Program, please visit the Bank’s website or call 613 782-8888."
Bank of Canada Announces the Recipient of its 2012 Law Enforcement Award of Excellence for Counterfeit Deterrence,2012-08-21,"The Bank of Canada is pleased to announce the recipient of its 2012 Law Enforcement Award of Excellence for Counterfeit Deterrence. The RCMP Integrated Counterfeit Enforcement Team, based in Surrey, British Columbia, was honoured for the second consecutive year during the annual conference of the Canadian Association of Chiefs of Police in Sydney, Nova Scotia.
Accepting the award on the unit’s behalf were Inspector Ian Lawson, the officer in charge of the RCMP’s Commercial Crime Section, and Constable John Shandro, an investigator on the Integrated Counterfeit Enforcement Team.
The thirteen members of the RCMP’s “E” Division were selected for their successful dismantling of a major counterfeit currency operation in Richmond, British Columbia, on 11 December 2011. The investigators acted on a tip regarding the production of counterfeit Canadian $100 bank notes in British Columbia’s Lower Mainland. Investigators were able to identify and arrest four individuals. The investigation resulted in the seizure of nearly $1.2 million in partially completed counterfeit currency.
“This most effective investigation resulted in the shutting down of a major counterfeiting operation before a single note could enter circulation - the best possible outcome,” said Gerry Gaetz, Chief of the Bank of Canada’s Currency Department.  “That this year’s winners also won last year is a tribute to the excellence and dedication that have become the trademarks of this team.”
The Bank of Canada’s Law Enforcement Award of Excellence for Counterfeit Deterrence was established in 2004 to recognize the work of Canadian law-enforcement personnel in deterring and preventing the counterfeiting of Canada’s bank notes.
A photo from the awards ceremony is available on the CNW Group’s Canada NewsWire."
Bank of Canada Publishes 2013 Schedule for Policy Interest Rate Announcements and Monetary Policy Report Releases,2012-08-03,"The Bank of Canada today published its 2013 schedule of key policy interest rate announcements and quarterly Monetary Policy Report (MPR) releases, and re-confirmed the scheduled announcement dates for the remainder of this year.
The scheduled announcement dates from September 2012 through December 2012 are re-confirmed as:
All these remaining 2012 rate announcements will continue to be made at 09:00 (ET) and the October Monetary Policy Report will be published at 10:30 (ET) on Wednesday, 24, October 2012.
Starting in January 2013, the Bank of Canada will begin publishing its quarterly Monetary Policy Report concurrently with its January, April, July, and October rate announcements. The standard day for publication of all scheduled rate announcements and MPRs will be Wednesday. A press conference with the Governor and Senior Deputy Governor will continue to take place on the dates when an MPR is published.
The Bank, as always, retains the option of making unscheduled rate announcements at any time in the event of extraordinary circumstances.
Over the past several years, the Bank has streamlined its production processes for the Monetary Policy Report and gradually reduced the interval between the release of the rate decision and the publication of the MPR from two weeks to the current one day. Today’s announcement is the logical conclusion of this process. Publishing the MPR at the same time as the interest rate announcement provides full and immediate context for the rate decision, which improves transparency and helps the Bank explain its monetary policy more effectively.
The scheduled announcement dates for 2013 are:
*- denotes the publication of the Monetary Policy Report.
There will be a single, consistent time of release for all scheduled rate announcements and Monetary Policy Reports. This release time will be determined and announced following consultations with market participants and other stakeholders.
Timeline of changes to the publication schedule for rate announcements and Monetary Policy Reports:"
Bank of Canada Unveils New $20 Note Design,2012-05-02,"Minister of Finance Jim Flaherty and Governor Mark Carney today unveiled the new and more secure $20 polymer bank note at the Bank of Canada’s head office, on Wellington Street in Ottawa. To raise public awareness about the new note, the building’s north-east corner now features seven-storey high images of both sides of the polymer $20.
As with the previously issued $50 and $100 polymer bank notes, the main reason for issuing a new $20 is to stay ahead of counterfeiting threats.  The new polymer notes are also more economical and have a smaller environmental footprint.
“The Bank’s goal is to maintain Canadians’ confidence in our money as a secure means of payment,” said Governor Carney after the unveiling ceremony. “This new $20 note fits the bill.”
The front of the polymer $20 features a new portrait of HM Queen Elizabeth II, who is celebrating her Diamond Jubilee this year. The back of the note pays tribute to the contributions and sacrifices of Canadian men and women in all military conflicts, and features the Canadian National Vimy Memorial – an iconic monument located in Vimy, France that commemorates the Battle of Vimy Ridge and honours those who fought and gave their lives in the First World War in France and have no known grave.
On 9 April 1917, all four divisions of the Canadian Expeditionary Force united for the first time to take Vimy Ridge in France – a strategically important position that had eluded previous attempts by allied forces between 1914 and 1916.
“The Canadian Corps’ victory at Vimy is often described as Canada’s ‘coming of age’ as a nation,” said Minister Flaherty, “This third note in the Frontier series commemorates the combination of technical innovation, tactical planning and meticulous execution with which Canada breached more than just a military frontier at Vimy Ridge.”
“The Bank is proud to memorialize this pivotal moment in Canadian history and to feature the inspiring Canadian National Vimy Memorial on the new $20 bank note,” said Governor Carney.
The $20 bill, which accounts for over 50 per cent of all bank notes in circulation and is the main note dispensed by automated banking machines (ABMs), will begin circulating in November of this year. To prepare for the new notes, the Bank is working closely with financial institutions and manufacturers of bank note equipment to ensure a smooth transition to polymer. The Bank is also providing authentication training and support materials to law enforcement officers and to cash handlers in retail and financial institutions.
The remaining bank notes in the series – the $5 and $10 – will be issued by the end of 2013. The specific designs and detailed images of these notes will not be released until their official unveiling dates.
The themes of all the polymer denominations are:
$100 Medical Innovation – celebrates Canadian innovations in the field of medicine (Portrait: Sir Robert Borden)
$50 CCGS Amundsen, Research Icebreaker – reflects Canada’s commitment to Arctic research and the development and protection of northern communities (Portrait: William Lyon Mackenzie King)
$20 The   Canadian National Vimy Memorial – evokes the contributions and sacrifices of   Canadian men and women in military conflicts throughout our history.   (Portrait: HM Queen Elizabeth II)
$10 The Canadian train—represents Canada’s great technical feat of linking its eastern and   western frontiers by what was, at the time, the longest railway ever built.   (Portrait: Sir John A. Macdonald)
$5 Canadarm2 and Dextre—symbolizes   Canada’s continuing contribution to the international space program through   robotics innovation. (Portrait: Sir Wilfrid Laurier)
More information on the new polymer bank note series can be obtained by contacting Jeremy Harrison at 613 782-8782 or"
Bank of Canada designates Canadian Derivatives Clearing Service under the Payment Clearing and Settlement Act,2012-04-27,"The Governor of the Bank of Canada today designated the Canadian Derivatives Clearing Service (CDCS) as subject to ongoing regulatory oversight by the Bank under the Payment Clearing and Settlement Act (PCSA), effective 30 April 2012.
CDCS, operated by the Canadian Derivatives Clearing Corporation (CDCC), provides central counterparty services for derivative contracts traded on the Montréal Exchange, derivative contracts traded over-the-counter via CDCC’s Converge® platform, and certain fixed income securities issued or guaranteed by the Government of Canada. The fixed income central counterparty service commenced operations on 21 February 2012 and is a key initiative to improve infrastructure for Canadian-dollar core funding markets.
“The implementation of the fixed income central counterparty service by CDCC marks significant progress towards ensuring that core funding markets in Canada remain continuously open and that our financial system becomes more resilient to shocks,” said Governor Mark Carney. “The Bank has worked closely with CDCC, the Investment Industry Association of Canada (IIAC), industry participants and fellow regulators throughout the development of this systemically important financial market infrastructure.”
In light of the critical role that the new fixed income service will play in supporting the repurchase agreement (repo) market, the Bank has determined that CDCS has the potential to pose systemic risk, and has therefore designated it under the PCSA.  The Minister of Finance has confirmed that he is of the opinion that designation is in the public interest.
Under the Payment Clearing and Settlement Act, the Bank of Canada has formal responsibility for the oversight of designated clearing and settlement systems, for the purpose of controlling systemic risk. 1 In this context, systemic risk is defined as the risk that the default of one participant in a clearing and settlement system, or a serious problem arising within the system itself, could lead, through the activities of the system, to the default of other institutions or systems.
Three systems have been previously designated by the Bank: the Large Value Transfer System (LVTS), which clears and settles large-value Canadian-dollar payments; CDSX, which clears and settles securities transactions; and the Canadian dollar leg of CLS Bank, a global system for the settlement of foreign-exchange transactions.
For further information on the Bank of Canada’s responsibilities for the oversight of payments and other clearing and settlement systems in Canada, visit the Bank’s website."
Bank of Canada Announces Recipients of  2012 Fellowship and Governor’s Awards,2012-04-13,"The Bank of Canada today announced that Professor Jean-Marie Dufour of McGill University is the recipient of the Bank’s Fellowship Award for 2012.
Professor Dufour is one of Canada’s leading econometricians and is internationally recognized for his work on a wide range of topics associated with the analysis of macroeconomic and financial data. He was first awarded the Bank of Canada Research Fellowship in 2007.
“The Bank is delighted to recognize Professor Dufour’s exceptional contributions to econometric methodology and its applications to macroeconomics, finance, economic growth and development,” said Mark Carney, Governor of the Bank of Canada. “The Bank is pleased to reaffirm its support for his work by making him a Fellowship recipient for a second time.”
The Bank’s Fellowship Program is designed to encourage leading-edge research and to develop expertise in Canada in a number of areas critical to the Bank’s mandate: macroeconomics, monetary economics and international finance, as well as the economics of financial markets and institutions, including their financial stability.
Each Fellowship Award spans a period of five years, subject to an annual confirmation by the Bank’s Governing Council. Recipients of this award may apply for a second five-year term.
The Bank of Canada also announced today that Professor Francesco Trebbi of the University of British Columbia is this year’s recipient of the Governor’s Award.
“The Bank of Canada is pleased to present this year’s Governor’s Award to Professor Trebbi,” said Governor Carney. “Through his outstanding research, he will continue to contribute important insights to the field of economics during a critical period for the global economy.”
Professor Trebbi has published widely in the areas of housing and banking regulation, political institutions and their design, and the political economy of the 2008–09 crisis. His current research focuses on the political economy dynamics related to the financial crisis, consistency of financial sector regulation and the impact of housing market dynamics on the real economy.
“Professor Trebbi is conducting highly relevant, insightful and original work. The Bank is pleased to recognize his talent and support his important research,” said the Governor.
The Governor’s Award recognizes outstanding academics at a relatively early stage in their careers who are working at Canadian universities in areas of research critical to the Bank of Canada’s mandate. The award is granted for a two-year, non-renewable term.
The application deadline for both the 2013 Fellowship and Governor's Awards is 15 November 2012. For more information on the Fellowship Program and Governor’s Award, please visit our website or call 613 782-8888."
The Bank of Canada Releases Its Annual Report for 2011,2012-04-05,The Bank of Canada’s Annual Report for 2011 was tabled in the House of Commons today. The Report will be available at 12:00 (ET) on the Bank's website .
Bank of Canada Issues $50 Polymer Bank Note,2012-03-26,"Bank of Canada Governor Mark Carney today officially announced the new $50 polymer bank note’s entry into circulation, during an event at the Canadian Coast Guard’s Québec port facility. These new notes will be available at financial institutions from coast to coast to coast starting today.
Governor Carney was joined at the event by Shelly Glover, Parliamentary Secretary to the Minister of Finance; Marc Grégoire, Commissioner of the Canadian Coast Guard; and Louis Fortier, Scientific Director of ArcticNet.
The front of the new $50 note features a portrait of Sir William Lyon Mackenzie King, while the back depicts the Arctic research icebreaker CCGS Amundsen, in port during the ceremony, as well as other imagery that reflects Canada’s commitment to Arctic research and the development and protection of northern communities. Most importantly, the new $50 bill, like the rest of the polymer series, features a unique combination of state-of-the-art security features, making them the most secure bank notes ever issued in Canada.
“Just as the work of scientists on the Amundsen is expanding the frontiers of Arctic research, this new polymer series is expanding the frontiers of bank note technology,” said Governor Carney.
The Governor encouraged Canadians to familiarize themselves with these new features, the most prominent of which are two transparent areas: one that extends from the top to the bottom of the note and contains complex holographic features, and the other in the shape of a maple leaf.
“Counterfeiting rates have been reduced by 90 per cent since 2004. Issuing this new series of bank notes enables us to continue to stay ahead of counterfeiters,” Governor Carney said. “And by regularly checking the leading-edge security features on these new notes, Canadians can help protect themselves from counterfeiting threats,” he added.
Parliamentary Secretary Glover noted that much has been done in recent years to combat counterfeiting and maintain public confidence in Canada’s bank notes, which helps to avoid the detrimental impact that counterfeiting can have on the integrity of an economy.
“These new polymer notes represent an important part of this effort and a significant barrier to counterfeiting. The striking imagery of this new $50 bill reflects Canada's commitment to the North,” said Parliamentary Secretary Glover.
Commissioner Grégoire expanded on the note’s theme, saying, “Canada’s northern frontier has played an important role in the shaping of our national identity. And it is a true honour to have the CCGS Amundsen, Canada’s Arctic research platform, illustrated on the note in this, the 50th anniversary of the Canadian Coast Guard.” He also spoke of how the Canadian Coast Guard’s partnership with ArcticNet provides the global scientific community with unprecedented access to research opportunities in the North.
With the $50 denomination being more frequently used in automated banking machines, Canadians were also reminded that each time a new series of bank notes is issued the equipment that processes and dispenses them may require adjustments or upgrades. The Bank of Canada has worked closely with financial institutions and manufacturers of bank note processing equipment to help them make this transition to polymer.
The $20 note will be issued later this year, with the remaining bank notes in the series – the $5 and $10 notes – to be issued by the end of 2013. The designs and detailed images of these notes will not be released until their official unveiling dates.
The themes of all of the denominations are:
$100 Medical Innovation – celebrates Canadian innovations in the field of medicine (Portrait: Sir Robert Borden)
$50 CCGS Amundsen, Research Icebreaker – reflects Canada’s commitment to Arctic research and the development and protection of northern communities (Portrait: William Lyon Mackenzie King)
$20 The Canadian National Vimy Memorial – evokes   the contributions and sacrifices of Canadians in conflicts throughout our   history (Portrait: HM Queen Elizabeth II)
$10 The   Canadian train   – represents Canada’s great technical feat of linking its eastern and western   frontiers by what was, at the time, the longest railway ever built (Portrait:   Sir John A. Macdonald)
$5 Canadarm2 and Dextre – symbolize   Canada’s continuing contribution to the international space program through   robotics innovation (Portrait: Sir Wilfrid Laurier)
More information on the new polymer bank note series can be obtained by contacting Jeremy Harrison at 613 782-8782 or ."
Bank of Canada Issues $100 Bill – First Canadian Polymer Bank Note,2011-11-14,"The Bank of Canada today began circulating the new $100 bill – Canada’s first polymer bank note. This new note will be available at financial institutions from coast to coast to coast over the next few weeks.
The $100 note features a portrait of Sir Robert Borden, Prime Minister of Canada between 1911 and 1920, on the front and celebrates Canada’s contributions to innovation in the field of medicine on the back. It was officially released into circulation by Governor Mark Carney at an event in Toronto, Ontario, at the MaRS Centre – a hub for public-private sector innovation and collaboration between the business and scientific communities.
Governor Carney was joined at the event by Dr. Ilse Treurnicht, Chief Executive Officer of MaRS Discovery District.
Dr. Treurnicht discussed the importance of creating an environment that encourages and supports innovation in fields such as health care and life sciences. “Such an environment spurs the development of Canadian expertise and sets the stage for Canadian companies to lead the way,” she said. “These companies will, in turn, develop new ideas and technologies that return significant economic and social benefits, not only to Canadians but, through global partnerships, to the world.”
Remarking that the new polymer bank notes are themselves the product of Canadian ingenuity, combined with innovative technologies from around the globe, Governor Carney said the $100 note is an important step toward significantly increasing the security of Canada’s bank notes. “Just as the images on this note depict Canadian achievements at the frontier of medicine, the advanced security features embedded in these new polymer bills are at the frontier of bank note technology,” Governor Carney said. “This will protect Canadians against tomorrow’s counterfeiting threats. As well, these new notes will last at least two-and-a-half times longer than paper notes and will be recycled – saving money and being better for the environment.”
“Safer, cheaper and greener: these new bank notes are a 21st-century achievement in which all Canadians can take pride and place their confidence,” he concluded.
The new polymer bank notes, among the most advanced in the world, contain leading-edge security features that make them difficult to counterfeit but easy to verify; for example, a large transparent area extends from the top to the bottom of the note and contains complex holographic features that can be viewed from both sides.
Since unveiling the polymer bank note series in June 2011, the Bank of Canada has been working closely with financial institutions and the manufacturers of bank note equipment to support a smooth transition to the new notes. Through its regional offices across the country, the Bank has also been working with law enforcement and retailers to ensure that front-line police officers and cash handlers are familiar with the new security features and to encourage the regular authentication of bank notes.
The $50 note, which was also unveiled in June, will be issued in March 2012. The $20 note will begin circulating in late 2012, followed by the $10 and $5 notes by the end of 2013. Detailed images of the notes and information on their designs will be released on their official unveiling dates."
Bank of Canada Releases Background Information on Renewal of the Inflation-Control Target,2006-11-27,"The Bank of Canada today released the document Renewal of the Inflation-Control  Target: Background Information , which describes Canada's experience  with inflation targeting, reports on some key issues bearing on the framework  for conducting monetary policy, and identifies issues warranting further  research.
This release follows the 23 November announcement by the Government of Canada  and the Bank of Canada that the inflation-control target has been renewed for a  period of five years to the end of 2011. Under the agreement, the Bank will  continue to conduct monetary policy aimed at keeping inflation, as measured by  the consumer price index (CPI), at 2 per cent, with a control range of 1 to 3  per cent around this target.
Key elements discussed in the Background Information document  include the following:
Canada's experience with inflation targeting: Since Canada  adopted inflation targets in 1991, total CPI inflation has averaged very close  to 2 per cent, and the variability of inflation has been significantly lower  than was the case in the 15 years before inflation targeting. Success in  reducing inflation, coupled with an explicit commitment to keep inflation low,  stable, and predictable through time, has helped to anchor inflation  expectations to the 2 per cent target. A low-inflation environment has  contributed to sound economic performance and the well-being of Canadians in a  number of important ways. Consumers and businesses have been able to manage  their finances with greater certainty about the future purchasing power of their  savings and income. Nominal interest rates, both short and long term, have been  much lower and more stable. Output growth in the economy has been generally  higher and significantly more stable, while unemployment has been lower and less  variable. The more stable price environment provided by inflation targeting has  also helped the economy adjust to economic shocks, such as the global high-tech  bubble, 9/11, SARS, and the rapid rise in oil prices, allowing businesses and  households to allocate resources more efficiently.
Total inflation and core inflation: The inflation target  will continue to be set in terms of the 12-month increase in the total consumer  price index. This reflects its role as the most commonly used indicator of  inflation in the Canadian economy and the most relevant estimate of the cost of  living for most Canadians. Total CPI inflation, however, is subject to  considerable variability and so is not always the best indicator of the  underlying trend in inflation and, therefore, of where inflation is likely to be  in the future. For this reason, core inflation—which removes volatile price  components—provides a useful guide for the conduct of monetary policy. In the  context of the new inflation agreement, the Bank intends to continue using CPIX  as its preferred measure of core inflation. CPIX strips out eight of the most  volatile components of total CPI, as well as the effect of changes in indirect  taxes on the remaining CPI components. As in the past, the Bank will continue to  look at a range of measures in order to assess the underlying trend of  inflation.
The target time horizon: Based on recent research, the Bank  has concluded that the present policy of bringing inflation back to the 2 per  cent target within six to eight quarters (18 to 24 months) is still appropriate  generally, although specific occasions may arise in which a somewhat shorter or  longer time horizon might be appropriate. For example, the persistence of lower  observed inflation might suggest, in some instances, a shorter time horizon.  Similarly, the longer-lasting nature of some shocks, such as large asset-price  movements could, in some instances, suggest a longer horizon. A full discussion  of the shocks to the Canadian economy, and of the Bank's policy response to  them, will be provided in the Bank's Monetary Policy Reports.
Asset prices and the inflation target: It remains the Bank's  view that no explicit recognition should be given to asset prices in the  inflation-target index, beyond the recognition already accorded the price of  housing services in the CPI. The Bank will focus on the inflation and output  consequences of any economic disturbance, including asset-price shocks, and will  continue to respond in a manner consistent with meeting its long-run inflation  objective. However, as noted above, some flexibility might be required with  regard to the time horizon over which the target is achieved. This might involve  sacrificing something in terms of inflation performance over the usual horizon,  but could lead to greater financial, economic, and inflation stability over a  somewhat longer horizon. If the Bank judged that the time horizon should be  adjusted relative to the usual six to eight quarters, it would communicate the  reasons for the change and how it planned to respond.
Issues warranting further research: While Canada's 15 years  of experience with inflation targeting have been very positive, there remains  the question of whether the specific regime established in the 1990s will  deliver the greatest contribution to economic performance and to the well-being  of Canadians in the decades ahead. With this in mind, the Bank plans to lead a  concerted research program to learn from our experience and the experience of  others, and to examine whether and how the monetary policy framework in Canada  might be improved. Building on recent research on inflation-targeting  frameworks, the research program led by the Bank will focus on the potential  costs and benefits of targeting a lower rate of inflation or of pursuing a  price-level target instead of an inflation target. The research program will  also consider any necessary reassessment of issues covered in the past and  assessment of any new issues that may arise. Other interested researchers are  invited to join the effort. The goal is to complete this research well in  advance of the next renewal date in 2011 so as to ensure sufficient time for  open discussion of the results and their implications."
Bank of Canada Governor Mark Carney Appointed Chairman of Financial Stability Board,2011-11-04,"Bank of Canada Governor Mark Carney has been named Chairman of the Financial Stability Board (FSB). The FSB is an international agency dedicated to building a more resilient and efficient global financial system. It coordinates the work of national financial authorities and international standard-setting bodies, and develops and promotes the implementation of effective regulatory, supervisory and other financial sector policies.
The appointment, for a term of three years, was confirmed by G-20 Leaders at their summit in Cannes, France. “I am honoured to assume this new role,” said Governor Carney. “My appointment reflects the strong reputation of Canada’s financial system and the leading role that Canada has played in helping to develop many of the most important international financial reforms.”
Mr. Carney will remain Governor of the Bank of Canada during his chairmanship of the FSB. He succeeds Mario Draghi, who was Governor of the Bank of Italy during his term as Chairman of the Financial Stability Board and its predecessor, the Financial Stability Forum (FSF). Mr. Draghi became President of the European Central Bank on 1 November 2011.
Governor Carney paid tribute to Mr. Draghi’s significant contributions to the promotion of international financial stability during his chairmanship. “Mario’s tireless dedication as FSB Chairman over the past five years, during the worst global financial crisis since the Great Depression, has established the FSB’s central role in the global financial system,” said Governor Carney. “The credibility of the FSB, and the quality and breadth of its work, are testaments to Mario’s vision and leadership. The global financial system is stronger today because of his chairmanship.”
The Governor committed to strengthen further the FSB’s capacity and governance, as mandated by the G-20 Leaders, and to work closely with national authorities and international agencies to monitor the implementation of the G-20’s comprehensive financial reform program.
He added, “I am delighted that Philipp Hildebrand, Chairman of the Governing Board of the Swiss National Bank, will serve as Vice-Chair of the FSB. I look forward to working closely with Mr. Hildebrand as we continue to advance the FSB’s vital work in building a more resilient and efficient financial system.”
Background note: The Financial Stability Board was established in April 2009 as the successor to the Financial Stability Forum (FSF). The FSF was founded in 1999 by the G-7 Finance Ministers and Central Bank Governors. In November 2008, the Leaders of the G-20 countries called for a larger membership of the FSF. In April 2009, at the G-20 Leaders Summit in London, England, it was announced that an expanded FSF was to be re-established as the Financial Stability Board (FSB) with a broadened mandate to promote financial stability. More information on the Financial Stability Board, including a list of its members, can be found at www.financialstabilityboard.org."
Bank of Canada Calls for Nominations for the 2012 Fellowship and Governor’s Awards,2011-09-13,"The Bank of Canada is calling for nominations for its Fellowship and Governor’s Awards for 2012. Canadian universities are invited to nominate exceptional academics for these prestigious awards.
The Bank of Canada promotes the economic and financial welfare of Canada through its activities in four main areas: monetary policy, currency, financial system stability and funds management. The Bank’s Fellowship Program promotes excellence in research and analysis and develops partnerships with experts outside the Bank in areas important to the Bank’s mandate, i.e., macroeconomics, monetary economics, international finance, financial markets and institutions, financial stability and regulation, labour economics, and economic growth. Through this program, two research awards are available for academics who currently work at a Canadian university: the Fellowship Award and the Governor’s Award.
The Fellowship Award provides financial support for a five-year term to academics who are recognized for their expertise and excellence in areas important to the Bank’s mandate and whose leading-edge research contributes to the development of knowledge and research capabilities in those areas.
The Governor’s Award provides funding for a two-year term to exceptional assistant and associate professors who have demonstrated the potential to make exemplary research contributions in their fields.
Nominations for these awards must be submitted by 15 November 2011. For more information on the Fellowship Program, please visit the Bank’s website or call 613 782-8888."
Bank of Canada Announces the Recipient of Its 2011 Law Enforcement Award of Excellence for Counterfeit Deterrence,2011-08-23,"The Bank of Canada is pleased to announce the recipient of its 2011 Law Enforcement Award of Excellence for Counterfeit Deterrence. The RCMP Integrated Counterfeit Enforcement Team in Surrey, British Columbia, was honoured today during the annual conference of the Canadian Association of Chiefs of Police in Windsor, Ontario.
Accepting the award on the unit’s behalf were Superintendent Lesley Bain, Officer in Charge of “E” Division (British Columbia) Commercial Crime Section, and Sergeant Rick Koop, investigator with the team.
The fourteen members of this Integrated Counterfeit Enforcement Team are being honoured for their outstanding efforts in two major counterfeiting investigations that culminated in the arrests of six people in the Metro Vancouver area suspected of producing and passing about $300,000 in counterfeit bills across Western Canada, at a rate of $30,000 per month.    
“Two years ago, this crime ring was responsible for 80 per cent of all counterfeit notes in B.C. and about a third of all counterfeits in Canada,” said Gerry Gaetz, Chief of the Bank of Canada’s Currency Department, in presenting the award. “These officers successfully dismantled two of the largest counterfeiting operations in B.C. history, which, left unchecked, could have had a detrimental effect on confidence in our currency.”
The award was established in 2004 to recognize the work of Canadian law-enforcement personnel in deterring and preventing the counterfeiting of Canada’s bank notes.
A photo from the awards ceremony is available on Canada NewsWire."
Bank of Canada Releases 2012 Schedule for Policy Interest Rate Announcements and Monetary Policy Report Releases,2011-07-26,"The Bank of Canada today released its 2012 schedule of eight dates for announcing decisions on its key policy interest rate and confirmed the announcement dates for the remainder of this year.
The announcement dates from September 2011 through December 2012 are:
Wednesday, 7 September 2011 Tuesday, 25 October 2011 Tuesday, 6 December 2011
Tuesday, 17 January 2012 Thursday, 8 March 2012 Tuesday, 17 April 2012 Tuesday, 5 June 2012 Tuesday, 17 July 2012 Wednesday, 5 September 2012 Tuesday, 23 October 2012 Tuesday, 4 December 2012
All announcements will continue to be made at 09:00 (ET).
Accordingly, the Monetary Policy Report will be published at 10:30 (ET) on the following dates:
Wednesday, 18 January 2012 Wednesday, 18 April 2012 Wednesday, 18 July 2012 Wednesday, 24 October 2012"
Bank of Canada Unveils Polymer Bank Note Series: Celebrating Canada’s Achievements at the Frontiers of Innovation,2011-06-20,"The Bank of Canada unveiled a new polymer bank note series today at its head office in Ottawa. Information on the polymer material and advanced new security features was released, along with the images and designs of the soon-to-be-issued $100 and $50 bank notes, and the themes for the remaining notes in the series.
Minister of Finance Jim Flaherty and RCMP Commissioner William J. S. Elliott joined Bank of Canada Governor Mark Carney for the unveiling ceremony.
Minister Flaherty spoke of the importance of cash as a means of payment in the daily lives of Canadians, adding this is why it is important Canadians see their story reflected in the designs. “These bank notes evoke the country’s spirit of innovation, and their designs celebrate Canada’s achievements at home, around the world and in space,” he said. “Bank notes are cultural touchstones that reflect and celebrate our Canadian experience.”
The $100 note, which is to be issued in November 2011, features images that focus on Canadian innovations in the field of medicine: from pioneering the discovery of insulin to treat diabetes, to the invention of the pacemaker and to the role Canadian researchers have played in mapping the human genetic code. Sir Robert Borden, Prime Minister of Canada between 1911 and 1920, in an updated portrait, remains on the front of the note.
The $50 note, which will be issued in March of 2012, features images of the Canadian Coast Guard Ship Amundsen in the North, reflecting Canada’s leading role in Arctic research. It also evokes the part that Canada’s northern frontier—with its vastness and splendour—has played in shaping our cultural identity. An updated portrait of William Lyon Mackenzie King, the Canadian Prime Minister between 1921 and 1930 and again from 1935 to 1948, is on the front of the note.
The notes will contain a number of unique features that expand the frontiers of bank note security and will make them difficult to counterfeit but easy to check. Most prominent are two transparent areas: the larger area extends from the top to the bottom of the note and contains complex holographic features; the other is in the shape of a maple leaf.
“The Bank’s objective with every new series is to produce a bank note that Canadians can use with the highest confidence,” said Governor Mark Carney. ""The Bank is combining innovative technologies from around the world with Canadian ingenuity to create a unique series of bank notes that is more secure, economic and better for the environment.""
RCMP Commissioner Elliott stated that, “These new and technically innovative notes will go a long way to deter the threat of counterfeiting in coming years.” He added that the RCMP will “continue to work with the Bank of Canada, and our policing partners, to maintain public confidence in Canada’s currency.”
In the next six months, the Bank will focus on raising public awareness of the coming note series. It will also continue to provide information to the cash-handling industry to help prepare the system for polymer notes, and will work to inform retailers, financial institutions and law enforcement agencies about how to check the new security features once the notes enter circulation.
Starting with the $20 note in 2012, the remaining bank notes in the polymer series will be issued by the end of 2013. The themes of the other denominations will be:
The specific designs and detailed images of these notes will not be released until their official unveiling dates.
More information on the new polymer bank note series can be obtained by contacting Jeremy Harrison, Assistant Director, Public Affairs at 613 782-8782 or 
Additional links:"
The Bank of Canada Releases Its Annual Report for 2010,2011-06-09,The Bank of Canada’s Annual Report for 2010 was tabled in the House of Commons today. The Report will be available at 12:00 (ET) on the Bank's website
"Canada Is Adjusting to Global Economic Transformation, Says Bank of Canada Governor Mark Carney",2011-05-16,"While Canada’s economy remains relatively well positioned, it is being buffeted by a significant transformation of the global economy, which is driven by a combination of secular trends and cyclical forces, Bank of Canada Governor Mark Carney said.
“It is a time of great opportunity for Canada, but navigating the cross-currents in the global economy will require boldness and skill,” the Governor said in a speech today to the Canadian Club of Ottawa.
Robust growth in emerging market economies is the result of a combination of spectacular secular trends and powerful cyclical forces, the Governor said. Trends include the urbanization of emerging Asia and the accompanying formation of a massive new middle class. Cyclical forces, such as accommodative monetary policies, capital inflows and credit booms, are also contributing to strong domestic demand.  In contrast, economic growth in advanced economies is listless and will be weighed down in coming years by the legacy of the financial crisis.
The balance between these forces has changed and may change again. “Last fall, the consensus was that a faltering recovery in advanced economies was a greater risk than overheating in emerging markets,” Governor Carney noted. “Today, it is the opposite. Such reversals can be expected to continue.”
The Governor identified three consequences for Canada, and discussed their implications:
The Governor said Canada’s economic flexibility, sound macroeconomic policy and commitment to openness will help address the current global challenges and opportunities. “Canada’s fiscal strength and monetary policy credibility represent crucial advantages that must be preserved.”"
